<<<<<<< HEAD
,text,label
0,Billionaire Musk says not interested in acquiring TikTok,1
1,Newscasts - Wall Street ends at the end of the week Strong Holiday Shorted,1
2,Weekly RPT-BUZZ-US shares: Mishmash,1
3,News Faces - Africa Business: From Anglo to Amazon,1
4,All day of acquisition contract,1
5,AZ-Com Maruwa of Japan launched a bidding for chilling logistics & frozen,1
6,Sources said,1
7,Newscasts - US Morning Call: Investors come back after hunger post -fade self,1
8,Newscasts - Musk wants to move Tesla incorporation to Texas,1
9,New##escasts - Trading at Noon: Nvidia surpasses Amazon's market value,1
10,Summary $ 35 BLN Ansys as part of the control of the regulatory body body Great Britain,1
11,RPT-Breakingviews-John Malone M&A costs minority investors,1
12,"Exclusive Bytedance prefers Tiktok's shutdown in the US if legal options fail, sources say",1
13,RPT-BreakingViews-Korean EV ev will inspire copycats.,1
14,AMD's $ 4.9 BLN ZT system agreement is facing EU Antitrust Decision by March 12,1
15,Billionaire Musk says he is is interested in getting Tiktok,1
16,Newscasts - Weeks calculated by number: What will the Fed do next?,1
17,Synopsys' $ 35 Bln Ansys Deal under the control of the United Kingdom's control.,1
18,FactBox-ACTIVist Elliott Holdings and the latest campaign,1
19,Newscast - Trade at Noon: Nvidia surpasses Amazon's market value,1
20,RPT-Breakingviefs-A South Corean EV would inspire Copycats,1
21,UPDATE 2-EQT to acquire digital consultancy firm Perficient for about $3 billion,1
22,ARCUS BIOSCIENCES SHARES UP 17% AT $18 IN AFTER THE BELL TRADING FOLLOWING ANNOUNCEMENT OF GILEAD INVESTMENT,1
23,Update $ 4.6 6 of an agreement worth $ 10.6 billion strengthens the offer of industrial software,1
24,Update 2-EQT to obtain inadequate digital consulting firms for about $ 3 billion,1
25,Update 8-March update to buy $ 36 billion in Pringles Maker Kelnova on the largest contract of 2024,1
26,Deals deals the day-Mergers and acquisitions,1
27,Synopsys' $35 bln Ansys deal under UK regulator scrutiny,1
28,"Exclusive post ownership works with bankers on on possibility of Weston's sheep agreement, the source said",1
29,News Broadcast - Wall Street ends at a sturdy weekend,1
30,NewScasts - The Week in Numbers: What will you do next?,1
31,UPDATE 3-Vivendi's Canal Plus offers to buy rest of South Africa's MultiChoice,1
32,"RPT exclusive trust, Disney offers concessions to win antitrustnod ##d India Media Fusion, says sources",1
33,NEWSCASTS - US Morning Call: The market will be opened in the midst of losing around the world.,1
34,News releases - US Night -time call: Return of the Investor's appetite after sale,1
35,News - Call the US: Appetite returns for investors after post -food food,1
36,Arcus Biosciences shares 17% to $ 18 after bell negotiation after gilead investment announcement,1
37,FACTBOX-Activist Elliott's recent holdings and campaigns,1
38,Sources sources that exclusive troublemakers,1
39,RPT-Buzz-US Stocks weeksweeks Mishmash,1
40,Sources say,1
41,RPT-BUZZ-US WEEKLY shares: Mishmash,1
42,One-day deals and acquisition deals,1
43,News programs programs The week in numbers: What will the Fed do next?,1
44,"Newscast - US Morning Callcall After Alphabet, Microsoft and Intel Markets Closed",1
45,Update 2-EQT to acquire a Digital Perficient consulting company around $ 3 billion,1
46,"RPT-Exclusive Liio, Disney offers concessions to gain antimonopoly for the merger of India media, the sources say",1
47,RPT-Buzz-Use Stock Week: Mishmash,1
48,Japan's AZ-Com Maruwa launches tender offer for chilled and frozen logistics,1
49,Newscasts - Africa africa Business: from Anglo to Amazon,1
50,Air France-Klm is looking for partners for sustainable fuel in Portugal before selling the tap,1
51,RPT-BreakingViews-John Malone M & A Cleanup Cost Minority Investors,1
52,"BUZZ-Neuronetics tanks on Q2 net loss, acquisition announcement",1
53,RPT-BreakingViews-John Malone M & A Cleanup Cost Minority Investors,1
54,News district - Trade at noon: Nvidia exceeds Amazon's market value,1
55,The new German Finance Minister does not plan the 2024 freezing budget,1
56,Latest stocks and campaigns of Factbox-Octavist Eliot,1
57,Deals of the day-Mergers and acquisitions,1
58,The ZT systems agreement worth 4.9 trillion BRN BRN is in the face of the EU antitrust decision by March march,1
59,Update 4-Cemen''s $ 10.6 Billion Ultire Deal strengthens its industrial software offer,1
60,Newscasts - US Morning Call: Investors come back after hunger post -fade self,1
61,Newsletter - Transactions at at: NVIDIA surpassed the market value of Amazon,1
62,Offers of the daily knives and acquisitions,1
63,Nokia taps AI boom with $2.3 bln Infinera purchase,1
64,Day-Migers and Acquisitions offers,1
65,Day-Mergers and Acquisition Offers,1
66,Newscast -Musk ##sk to move Tesla integration to Texas,1
67,RPT BreakingView-John Malone M&A clearing work cost minority investors,1
68,Deals of the day-Mergers and acquisitions,1
69,Musk billionaire says he is not interested in obtaining Tiktok,1
70,Miliard Musk said he was not interested in getting Tiktok,1
71,Nokia taps ai boom with purchase of infinera of of 2.3 bln,1
72,Elon Musk could be forced to testify again on the SEC's Twitter Takeover Probe,1
73,Ansys agreement $ 35 months synopsys under the supervision of the British regulator,1
74,"If the legal option fails, the exclusive build list is preferred to end tiktok.",1
75,News Broadcast - Africa in Business: From Anglo to Amazon,1
76,Latest stocks and and of Factbox-Octavist Eliot,1
77,Media-Sycamore is talking about about financing for the potential Walgreens agreement with special credit firms- Bloomberg News,1
78,Newscasts - U.S. Morning Call: Israel invests billions of dollars in Intel,1
79,Billioner Mask says that he he not interested in receiving Dictok,1
80,News - Negotiation in Middle -Dia: It's a slow start for Wall Street before Fed Rate Week,1
81,"Fast food operator of Malaysia Shasr Shasve Ipo plans in the midst of the boycott campaign, according to the sources",1
82,Update 2-EQT to purchase the digital consulting company for around $ 3 billion,1
83,Newscasts - Trading in in afternoon: This is a dull start for Wall Street before Fed Rate Week,1
84,Moses billionaire says he is not tooterested in getting tiktok,1
85,RPT-BUZZ-US stocks weekly: Mishmash,1
86,UPDATE 1-EU watchdog probes potential Nvidia hardware bundling as it scrutinises Run:ai deal,1
87,"The exclusive participations that work with bankers on possible affairs of Lamb Weston, affirm the sources",1
88,All day day acquisition contract,1
89,"EXCLUSIVE-ByteDance prefers TikTok shutdown in US if legal options options, sources say",1
90,"Malaysian Fast -Food operator QSR shelves IPO plans in the middle of the boycott campaign, according to sources, say sources",1
91,Nokia taps AI boom with $$.3 bln Infinera purchase,1
92,AMD's $449 bln ZT Systems deal faces EU antitrust decision by March 12,1
93,Update 1-EU WatchDog Probe Potential NVEDIA HARDWARE BUNDING EXCEMENT WILL investigate: AI Deal,1
94,Nokia Taps Ai Boom with the purchase of Infinera $ 2.3 BLN,1
95,Nokia taps AI boom with $2.3 bln Infinera purchase,1
