<<<<<<< HEAD
,text,label
0,Elon Musk may be compelled to testify again in SEC's Twitter twitter probe,1
1,RPT-BREAKINGVIEWS-Drugstore $6 bln deal has sickly governance,1
2,Elon Musk may be compelled to testify again in SEC's Twitter takeover probe,1
3,Newscasts - Kasturi wants to transfer the inclusion of Tesla in Texas,1
4,Air France-KLM seeks partners for sustainable fuel in Portugal ahead of TAP sale,1
5,"Update 3-Mufthansa's Ita Airways deal can reduce competition, warns the EU",1
6,UPDATE 4-Siemens' $10.6 billion Altair deal strengthens its industrial software offering,1
7,Newscasts - US Morning Call: Record TSMC results spur Wall Street relief rally,1
8,MEDIA-Sycamore speaking with private credit firms about debt financing for potential Walgreens deal- Bloomberg News,1
9,"Newscast -US Morning Call: Alphabet, Microsoft and Intel Due After After Markets Close",1
10,Update 1-EU Watchdog Potential Nvidia checks hardware bundling as it investigates the run: AI Deal,1
11,"BUZZ-Neuronetics tanks on Q2 net loss, acquisition announcement",1
12,Newscasts - Musk wants to transfer Tesla inclusion in Texas,1
13,"BUZZ-Neuronetics tanks on Q2 net loss, acquisition acquisition",1
14,RPT-BUZZ-US Stocks Weekly: Mishmash,1
15,"Malaysian fast food operator QSR shelves IPO ##o amid boycott campaign, sources say",1
16,Synopsys' $35 bln Ansys deal under UK regulator scrutiny,1
17,"Exclusive-Basdans prefer us in the ticket shutdown to us if the law options fail, say formulas",1
18,New German finance minister minister not plan 2024 budget freeze,1
19,Update 1-EU WatchDog Probe Potential NVEDIA HARDWARE BUNDING EXCEMENT WILL investigate: AI Deal,1
20,All day of of contract,1
21,"Newscasts - US Morning Call: Alphabet, Microsoft, and Intel due after markets close",1
22,Billionaire Musk says not interested in acquiring TikTok,1
23,RPT-BUZZ-US stocks weekly: Mishmash,1
24,NEWSCASTS - US Morning Call: The market will be opened in the midst of losing around the world.,1
25,"EXCLUSIVE-Post Holdings working with bankers on possible Lamb Weston deal, sources say",1
26,UPDATE 2-EQT to acquire digital consultancy firm Perficient for about $3 billion,1
27,Days of days and acquisitions,1
28,Deals of the day-Mergers and acquisitions,1
29,UPDATE 3-Vivendi's Canal Plus offers to buy rest of South Africa's MultiChoice,1
30,UPDATE 1-EU watchdog probes potential Nvidia hardware bundling as it scrutinises Run:ai deal,1
31,Update 9-paramount leaves exclusive conversations with Skydance-decays,1
