versionCreated,headline,storyId,sourceCode,cRIC
2023-12-27 07:19:16.000,PRESS DIGEST- Wall Street Journal - Dec 27,urn:newsml:reuters.com:20231227:nL4N3DM0YF:1,NS:RTRS,AAPL.O
2023-12-19 00:58:19.000,PRESS DIGEST- Financial Times - Dec. 19,urn:newsml:reuters.com:20231219:nL4N3DE09I:1,NS:RTRS,AAPL.O
2023-12-18 12:31:23.000,RPT-FOCUS-Goldman Sachs faces rocky exit from Apple credit card partnership,urn:newsml:reuters.com:20231218:nL1N3DD0TF:2,NS:RTRS,AAPL.O
2023-12-05 05:14:57.902,Newscasts - Wall Street ends down as megacaps give back gains,urn:newsml:reuters.com:20231205:nRTVbYWGBX:6,NS:RTRS,AAPL.O
2023-12-04 21:00:38.184,"Newscasts - U.S. Day Ahead:  Treasury yields rise ahead of JOLTS, ISM non-manufacturing PMI",urn:newsml:reuters.com:20231204:nRTV4kRfX8:1,NS:RTRS,AAPL.O
2023-11-30 13:52:15.852,Newscasts - U.S. Morning Call: Elon Musk curses out advertisers who left X over antisemitic content,urn:newsml:reuters.com:20231130:nRTVbXLcH8:3,NS:RTRS,AAPL.O
2023-11-30 02:37:08.524,Newscasts - U.S. stocks little changed ahead of key inflation report,urn:newsml:reuters.com:20231129:nRTV5znhWk:6,NS:RTRS,AAPL.O
2023-11-29 08:58:52.000,UPDATE 1-Saudi's Kingdom Holding buys $450 mln stake in Citigroup from Alwaleed,urn:newsml:reuters.com:20231129:nL1N3CU0KY:1,NS:RTRS,AAPL.O
2023-11-24 14:53:13.592,Newscasts - U.S. Morning Call: Nvidia delays launch of new China-focused AI chip - sources,urn:newsml:reuters.com:20231124:nRTVbmb738:3,NS:RTRS,AAPL.O
2023-11-22 07:09:48.000,BRIEF-Shipments of smartphones within China +60.9% Y/Y to 31.9 million handsets in September - CAICT,urn:newsml:reuters.com:20231122:nB9N3C902H:1,NS:RTRS,AAPL.O
2023-11-22 07:05:46.895,SHIPMENTS OF SMARTPHONES WITHIN CHINA +60.9% Y/Y TO 31.9 MLN HANDSETS IN SEPT - CAICT,urn:newsml:reuters.com:20231122:nB9N3C902H:1,NS:RTRS,AAPL.O
2023-12-22 05:27:01.000,PRESS DIGEST - Wall Street Journal - Dec. 22,urn:newsml:reuters.com:20231222:nL4N3DH10A:1,NS:RTRS,MSFT.O
2023-12-20 06:56:40.000,RPT-BREAKINGVIEWS-Backlogged M&A pipeline will burst in 2024,urn:newsml:reuters.com:20231220:nL4N3DF1H2:1,NS:RTRS,MSFT.O
2023-12-19 14:41:49.000,BREAKINGVIEWS-Backlogged M&A pipeline will burst in 2024,urn:newsml:reuters.com:20231219:nL4N3D03OI:6,NS:RTRS,MSFT.O
2023-12-19 07:50:51.000,French and Benelux stocks-Factors to watch (updated),urn:newsml:reuters.com:20231219:nL8N3DD6UI:3,NS:RTRS,MSFT.O
