versionCreated,headline,storyId,sourceCode,cRIC
2024-12-19 15:41:33.776,Newscasts - US Morning Call: Investor appetite returns after post-Fed selloff,urn:newsml:reuters.com:20241219:nRTV2N3kT8:15,NS:RTRS,AAPL.O
2024-12-16 11:00:00.000,RPT-BUZZ-US stocks weekly: Mishmash,urn:newsml:reuters.com:20241216:nL6N3NG036:1,NS:RTRS,AAPL.O
2024-12-16 10:27:47.000,"Chinese smartphone shipments expected to rise 1.6% in 2025, says IDC",urn:newsml:reuters.com:20241216:nP8N3N30B8:2,NS:RTRS,AAPL.O
2024-12-16 10:13:05.560,"IDC: EXPECTS CHINA'S SMARTPHONE SHIPMENTS TO REACH 289 MLN BY 2025, UP 1.6% Y/Y",urn:newsml:reuters.com:20241216:nP8N3N30B8:1,NS:RTRS,AAPL.O
2024-12-16 08:45:08.000,PRESS DIGEST - Wall Street Journal - Dec 16,urn:newsml:reuters.com:20241216:nL4N3NH0GY:1,NS:RTRS,AAPL.O
2024-12-13 22:02:05.000,BUZZ-US stocks weekly: Mishmash,urn:newsml:reuters.com:20241213:nL6N3ND0OH:1,NS:RTRS,AAPL.O
2024-12-09 20:48:44.215,Newscasts - Ad giant Omnicom strikes $13 billion deal to buy Interpublic,urn:newsml:reuters.com:20241209:nRTV3MwxMQ:25,NS:RTRS,AAPL.O
2024-12-03 12:00:18.000,RPT-BREAKINGVIEWS-Bain's Japan chip IPO is a tough sell,urn:newsml:reuters.com:20241203:nL3N3N40H8:1,NS:RTRS,AAPL.O
2024-12-03 05:34:11.000,BREAKINGVIEWS-Bain's Japan chip IPO is a tough sell,urn:newsml:reuters.com:20241203:nL3N3N00GL:1,NS:RTRS,AAPL.O
2024-11-27 07:47:56.000,"Foreign smartphone sales in China drop 44.25% in Oct, data shows",urn:newsml:reuters.com:20241127:nL3N3MY0J6:1,NS:RTRS,AAPL.O
2024-11-27 07:40:34.000,RPT-SHIPMENTS OF SMARTPHONES WITHIN CHINA UP 1.8% Y/Y AT 29.67 MILLION HANDSETS IN OCT - CAICT,urn:newsml:reuters.com:20241127:nL3N3MY0J6:2,NS:RTRS,AAPL.O
2024-11-27 07:40:33.000,CORRECTED-SHIPMENTS OF FOREIGN BRANDED PHONES INCLUDING APPLE IPHONES WITHIN CHINA DOWN 44.25% (NOT 55.75%) Y/Y AT 6.22 MILLION HANDSETS IN OCT - REUTERS CALCULATIONS BASED ON CAICT DATA,urn:newsml:reuters.com:20241127:nL3N3MY0J6:1,NS:RTRS,AAPL.O
2024-11-22 10:25:11.390,APPLE'S CHINA SMARTPHONE SHIPMENTS MARKET SHARE AT 14% IN Q3 - COUNTERPOINT,urn:newsml:reuters.com:20241122:nP8N3LQ0A8:5,NS:RTRS,AAPL.O
