<<<<<<< HEAD
Ticker,Name,Weight (%),Positive Headlines,Neutral Headlines,Negative Headlines,Total Articles,Sentiment Score
AAPL,APPLE INC,6.73,0,2,0,2,0.0
NVDA,NVIDIA CORP,6.23,1,2,1,4,-0.05105625092983246
MSFT,MICROSOFT CORP,5.96,0,2,0,2,0.0
AMZN,AMAZON COM INC,4.2,0,4,1,5,-0.16477012634277344
META,META PLATFORMS INC CLASS A,3.05,1,5,4,10,-0.23454985916614532
GOOGL,ALPHABET INC CLASS A,2.12,4,2,2,8,0.20250240713357925
AVGO,BROADCOM INC,2.06,3,6,0,9,0.27161266406377155
TSLA,TESLA INC,1.98,1,2,1,4,-0.05873177945613861
GOOG,ALPHABET INC CLASS C,1.74,4,3,2,9,0.18000213967429268
BRKB,BERKSHIRE HATHAWAY INC CLASS B,1.69,0,0,0,0,0.0
JPM,JPMORGAN CHASE & CO,1.52,1,5,1,7,-0.037692291396004815
LLY,ELI LILLY,1.35,5,5,3,13,0.17605997507388776
V,VISA INC CLASS A,1.18,5,13,2,20,0.15041614323854446
UNH,UNITEDHEALTH GROUP INC,0.95,1,9,2,12,-0.05250681936740875
XOM,EXXON MOBIL CORP,0.94,1,6,1,8,-0.002864360809326172
COST,COSTCO WHOLESALE CORP,0.91,4,9,0,13,0.2753106722464928
MA,MASTERCARD INC CLASS A,0.9,4,8,1,13,0.22870514943049505
WMT,WALMART INC,0.86,2,7,0,9,0.20679757330152723
NFLX,NETFLIX INC,0.85,2,3,0,5,0.31713387966156004
HD,HOME DEPOT INC,0.79,2,6,3,11,-0.05227017944509333
PG,PROCTER & GAMBLE,0.77,0,13,1,14,-0.05845515217099871
JNJ,JOHNSON & JOHNSON,0.72,1,8,3,12,-0.14477780958016714
ABBV,ABBVIE INC,0.66,3,8,0,11,0.2193518497727134
BAC,BANK OF AMERICA CORP,0.62,0,5,0,5,0.0
CRM,SALESFORCE INC,0.61,3,2,1,6,0.31062286098798114
ORCL,ORACLE CORP,0.55,3,4,0,7,0.31253609486988615
WFC,WELLS FARGO,0.53,0,7,2,9,-0.1995587944984436
CVX,CHEVRON CORP,0.5,3,4,1,8,0.18542401492595673
CSCO,CISCO SYSTEMS INC,0.49,4,7,0,11,0.30321939425034955
KO,COCA-COLA,0.48,1,5,0,6,0.15830369790395102
ACN,ACCENTURE PLC CLASS A,0.47,5,6,1,12,0.2720826913913091
IBM,INTERNATIONAL BUSINESS MACHINES CO,0.46,4,9,1,14,0.18880491597311838
PLTR,PALANTIR TECHNOLOGIES INC CLASS A,0.44,2,2,2,6,-0.013830125331878662
PM,PHILIP MORRIS INTERNATIONAL INC,0.44,7,5,1,13,0.4346283903488746
